# Version 1.00
#
freq[Hz];db:Trc1_S21;ang:Trc1_S21;
3.609800000000000E+009;-4.925188084280333E+001;-1.282231393755203E+002;
3.609805000000000E+009;-5.018708841014519E+001;-1.253299845021369E+002;
3.609810000000000E+009;-4.928903158102455E+001;-1.269112038567600E+002;
3.609815000000000E+009;-4.921329616703982E+001;-1.271053054005648E+002;
3.609820000000000E+009;-4.906638011821576E+001;-1.300896244379011E+002;
3.609825000000000E+009;-4.941607992690584E+001;-1.308361730682343E+002;
3.609830000000000E+009;-4.915017253674591E+001;-1.287439443559310E+002;
3.609835000000000E+009;-4.942537405331501E+001;-1.272932923881212E+002;
3.609840000000000E+009;-4.918663138993519E+001;-1.290444494358976E+002;
3.609845000000000E+009;-4.980864914120976E+001;-1.287850294594068E+002;
3.609850000000000E+009;-4.964941073533556E+001;-1.326574484483186E+002;
3.609855000000000E+009;-5.015136261516643E+001;-1.267302428285594E+002;
3.609860000000000E+009;-4.968735809741881E+001;-1.313859422825163E+002;
3.609865000000000E+009;-4.940778785135117E+001;-1.294538249241314E+002;
3.609870000000000E+009;-4.940364420058008E+001;-1.297191560039686E+002;
3.609875000000000E+009;-4.954433634670931E+001;-1.264131723493762E+002;
3.609880000000000E+009;-4.935560731623583E+001;-1.303388321000396E+002;
3.609885000000000E+009;-4.945499626084509E+001;-1.295027831226062E+002;
3.609890000000000E+009;-4.961952579362470E+001;-1.296553363337204E+002;
3.609895000000000E+009;-4.923919686481676E+001;-1.306778178580685E+002;
3.609900000000000E+009;-4.999868709478123E+001;-1.259983303011574E+002;
3.609905000000000E+009;-4.924685320643688E+001;-1.295607963783555E+002;
3.609910000000000E+009;-4.952621572819286E+001;-1.273884796628432E+002;
3.609915000000000E+009;-4.949931924646233E+001;-1.283795231165958E+002;
3.609920000000000E+009;-4.951434300792364E+001;-1.287753332350263E+002;
3.609925000000000E+009;-4.955707793255336E+001;-1.287888493128001E+002;
3.609930000000000E+009;-4.956641718691098E+001;-1.292908292272000E+002;
3.609935000000000E+009;-4.946178629200789E+001;-1.289266215504958E+002;
3.609940000000000E+009;-4.949164111325874E+001;-1.293729997467901E+002;
3.609945000000000E+009;-4.952022408815420E+001;-1.288887415552046E+002;
3.609950000000000E+009;-4.952875845068579E+001;-1.293698483714245E+002;
3.609955000000000E+009;-4.952551776961140E+001;-1.290685652961893E+002;
3.609960000000000E+009;-4.950985466636829E+001;-1.292405380728561E+002;
3.609965000000000E+009;-4.952189735981128E+001;-1.297483152000351E+002;
3.609970000000000E+009;-4.956908525497421E+001;-1.293154204564735E+002;
3.609975000000000E+009;-4.947382508426773E+001;-1.293040486688831E+002;
3.609980000000000E+009;-4.950088464360746E+001;-1.298677323600699E+002;
3.609985000000000E+009;-4.953169117773400E+001;-1.296421843715307E+002;
3.609990000000000E+009;-4.948058539910883E+001;-1.294448630970920E+002;
3.609995000000000E+009;-4.956372862013805E+001;-1.298162508353982E+002;
